Year,Source details,SERIES,UNIT_MEASURE,Observation-level footnotes,Value
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,1.009
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,0.6946
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,0.9642
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,0.6875
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,-0.4786
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,2.0152
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,1.786
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,1.0111
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,0.7315
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,0.6383
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,4.0081
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,,-6.4599
1971,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.1861
1972,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,6.3611
1973,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,5.5379
1974,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,-1.6234
1975,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,-0.1334
1976,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,0.4925
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,-0.3976
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,5.3523
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,4.3662
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,-0.0845
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,0.1627
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,1.092
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,4.1964
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,2.3151
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.8853
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,6.4636
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,5.5037
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,7.7571
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.4902
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,0.975
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,-2.0632
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,1.5764
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,4.3358
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.5192
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,2.1639
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.6959
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,5.0762
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,4.1612
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,4.4809
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,4.4294
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.5622
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.2957
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.3338
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.1846
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,2.4759
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,1.6099
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,2.3464
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,-0.3831
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,-2.733
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,1.154
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,-0.1013
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,1.7168
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,2.6338
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,2.3386
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.0103
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,3.4013
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,1.1339
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,1.427
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,1.1002
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,,-10.9237
1971,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,6.9189
1972,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,1.0755
1973,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,12.3054
1974,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,7.3132
1975,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,-2.9633
1976,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,9.1061
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,6.8785
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,1.8489
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,3.7709
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,-0.3016
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,-0.4943
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,1.1129
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,2.0129
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,6.741
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,5.8532
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,4.1642
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,5.8587
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,0.5961
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,4.5556
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,5.2811
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,0.1659
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,4.5298
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,4.5508
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,9.2293
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,9.4457
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,7.0978
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,12.295
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,2.6523
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,2.7995
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,8.9324
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,2.1881
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,1.0812
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,2.3286
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,4.6571
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,7.894
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,12.7219
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,-2.0126
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,0.3919
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,-8.3877
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,5.8233
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,7.2243
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,0.6414
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,0.8553
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,0.2356
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,2.7994
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,2.7409
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,5.4079
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,3.0302
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,2.6579
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of exports of goods and services (%) [17.13.1],Percent,,-15.8066
1971,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-0.5797
1972,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-1.2248
1973,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,19.5253
1974,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-7.4264
1975,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-12.6204
1976,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,11.5933
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,1.633
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,1.4253
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,3.2548
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-15.1619
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-8.963
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,10.4682
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,10.4087
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,8.2956
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,3.5596
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,2.3955
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,9.6834
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,18.0035
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,3.8205
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-6.0864
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-8.8612
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,4.0741
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,3.7651
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,10.3701
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,5.1058
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,2.7987
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,5.7454
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,8.8721
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,4.429
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,1.4742
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,4.0203
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,2.1949
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,2.0377
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-0.0475
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,3.0862
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,5.4742
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,1.7058
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-6.6675
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-15.1248
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,12.303
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-2.5568
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,3.8441
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,8.1107
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,11.6738
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,5.1388
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-1.5449
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,0.7517
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,0.8687
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,0.8195
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the gross capital formation (%) [17.13.1],Percent,,-12.9803
1971,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,5.379
1972,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,9.918
1973,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,11.1845
1974,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,1.005
1975,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,-6.5931
1976,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,5.1586
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,1.9223
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,3.7314
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,9.6448
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,-3.5253
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,-2.7366
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,4.9307
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,6.5652
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,9.8757
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,2.5182
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,6.8731
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,7.8857
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,12.782
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,7.4208
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,0.5623
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,-4.3756
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,6.7812
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,3.3207
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,5.9346
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,5.5433
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,9.1906
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,9.7259
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,7.5048
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,7.1876
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,9.4122
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,6.1561
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,5.2701
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,1.8662
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,6.2198
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,6.9101
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,10.326
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,-3.124
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,-2.3554
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,-8.0094
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,7.9214
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,1.632
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,1.953
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,3.077
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,3.3492
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,5.4116
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,3.9467
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,2.6478
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,2.7196
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,2.7339
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,,-17.8131
1961,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.6771
1962,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,1.1029
1963,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,4.8744
1964,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,5.5337
1965,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.1422
1966,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,1.5731
1967,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.7865
1968,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,5.4411
1969,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,1.9241
1970,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,3.3808
1971,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,3.5047
1972,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,4.3217
1973,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,6.5238
1974,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,-2.4844
1975,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,-1.4736
1976,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,,2.9103
