Year,SERIES,Type of product,UNIT_MEASURE,Base period,Value
2006,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,55499353.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,54207688.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,60377932.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,58056168.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,53802454.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,57710995.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,54344633.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,61328562.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,65083787.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,65367309.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,65650831.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,65934354.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,18814662.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,15502460.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,18645907.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,18055952.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,18305150.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,17984972.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,17703878.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,16680374.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,20093906.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,18229199.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,18123945.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,19094550.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,17320757.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,17205676.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,20728213.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,20814284.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,20900355.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,20986426.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,34043831.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,27865199.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,30390622.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,30163067.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,30610500.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,31509184.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,32845278.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,33364225.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,33000211.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,30957742.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,32674284.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,34410156.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,32431275.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,32432394.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,32659274.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,32837660.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,33016046.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,33194433.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,23218070.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,23579099.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,22994736.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,22969648.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,22804938.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,23834672.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,23000861.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,23258263.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,20373448.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,18930762.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,20977852.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,19690068.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,17996835.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,18919040.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,20026358.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,19760598.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,19386196.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,19011794.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,947595.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,1019008.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,980399.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,853436.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,858018.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,884552.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,951224.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,862323.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,863281.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,780480.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,700114.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,739680.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,742261.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,740455.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,863830.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,847140.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,830450.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,813760.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,16393062.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,19314820.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,17519287.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,15967565.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,15840178.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,15503819.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,15717324.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,18126630.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,12549252.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,3939690.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,7546738.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,6801383.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,6274961.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,8636525.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,10654215.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,9813630.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,9048951.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,8284272.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,14882633.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,17597348.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,16388045.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,15158965.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,14735062.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,14325055.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,14585080.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,17456865.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,12091993.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,3837507.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,7270443.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,6801383.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,6274961.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,8574162.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,10578310.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,9813630.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,9048951.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,8284272.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,1510429.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,1717473.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,1131241.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,808600.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,1105116.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,1178764.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,1132244.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,669765.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,457259.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,102183.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,276295.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,62363.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,75905.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,372681711.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,385038518.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,364688174.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,361495262.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,371795339.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,360372190.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,367865924.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,370125829.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,326429673.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,264705829.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,254426965.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,263643459.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,247574480.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,247952014.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,254067963.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,242996589.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,231952364.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,220926070.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,208398882.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,220080269.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,207527011.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,210422568.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,216282551.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,217899495.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,221180229.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,206905095.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,211517527.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,195015892.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,187363526.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,181562957.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,186781666.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,186173856.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,173518577.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,157372469.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,153548239.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,149724008.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,53423000.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,66276000.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,57559000.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,59896000.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,60936000.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,64221000.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,69003000.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,60178000.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,61409000.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,54901000.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,43246000.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,49477000.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,60270000.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,62198000.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,53814000.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,34532000.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,33328946.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,32125893.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,81249000.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,81171000.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,77723000.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,78963000.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,81437000.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,82087000.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,83714000.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,78155000.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,78769000.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,73912000.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,73484000.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,71172000.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,70339000.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,68301000.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,69114000.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,71066000.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,70074789.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,69083579.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,73726882.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,72633269.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,72245011.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,71563568.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,73909551.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,71591495.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,68463229.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,68572095.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,71339527.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,66202892.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,70633526.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,60913957.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,56172666.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,55674856.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,50590577.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,51774469.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,50144503.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,,48514537.0
