Year,SERIES,UNIT_MEASURE,Type of product,Observation status,Unit multiplier,Reporting type,Base period,Value
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,800489799.59037
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,818600009.58785
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,807612914.39052
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,825640265.53532
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,826238342.80923
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,765089461.01824
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,679041940.86791
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,660503063.81795
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,656993815.88633
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,645528837.0695
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,642300551.76569
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,725229719.364
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,723633056.64487
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,724831290.63855
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,751086407.33645
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,754360502.84312
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,Global,,742849871.71633
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,363061372.328
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,373528177.982
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,353083339.704
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,345586315.737
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,361521546.116
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,348993437.899
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,351014773.025
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,353702512.424
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,311644513.069
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,248927064.69
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,235769521.208
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,244948089.982
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,221754114.0575
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,220958357.37204
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,305128281.819
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,330977658.94945
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,348553978.26594
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,348768837.77408
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,354996771.06371
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,,354587855.58264
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,17261880.75611
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,17153578.709
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,17506860.61622
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,17225682.58189
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,16782534.83489
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,17327001.445
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,17768190.08289
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,16769047.99456
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,15951765.63433
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,15030016.18933
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,17578272.27233
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,21779073.73567
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,20540051.966
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,21680390.89
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,19607888.19
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,15525964.90844
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,15256010.76344
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,11683880.11011
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,13156119.80556
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,,12666375.92822
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,180875424.23
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,172255099.975
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,177490377.587
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,174892242.232
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,178530236.732
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,179517049.46
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,176697231.313
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,172641996.437
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,179785950.196
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,173367611.565
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,170770993.273
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,175116059.974
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,168325217.146
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,176493941.866
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,183662933.848
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,179493360.335
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,172228709.279
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,183513312.045
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,176854006.001
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,Global,,175052899.41184
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,55482015.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,54954517.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,58931699.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,54364694.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,57294073.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,56679710.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,55363989.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,54032718.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,59949120.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,57672923.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,53599300.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,57521003.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,54141908.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,61064238.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,64107558.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,59452161.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,54087768.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,64391321.0
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,59269047.0
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crops (material flows),Normal value,Units,Global,,58167709.12857
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,18809828.5
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,15500654.63
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,18641876.26
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,18040041.56
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,18289766.16
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,17970783.42
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,17702946.51
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,16672638.72
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,20094203.25
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,18229701.53
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,18124102.36
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,19095378.45
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,17319954.59
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,17205945.99
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,20740950.17
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,21050815.8
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,18095899.7
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,19342418.2
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,17754434.6
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Crop residues (material flows),Normal value,Units,Global,,17851282.6605
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,92371059.4
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,85938181.8
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,83929081.4
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,85021707.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,85303412.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,86329681.8
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,84969277.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,82877728.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,81221846.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,79726209.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,80033785.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,79291234.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,79494842.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,79528479.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,80053368.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,80302382.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,81394573.6
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,81755983.2
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,80502132.2
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,,80162894.96357
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,14961080.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,15186940.2
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,14535724.92
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,13953433.28
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,13213987.68
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,13762723.36
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,12209394.52
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,12113944.12
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,10549745.44
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,9852647.52
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,11250001.24
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,10071894.8
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,11906123.32
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,16257855.36
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,19677324.52
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,23616174.68
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,24365647.24
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,25193258.8
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,27763077.92
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wood (material flows),Normal value,Units,Global,,29509086.33643
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,794628.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,843123.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,797657.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,651624.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,630080.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,654572.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,772198.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,614698.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,620140.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,528370.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,363451.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,425529.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,414811.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,376856.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,172839.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,186229.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,341497.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,254090.0
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,322649.0
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Wild catch and harvest (material flows),Normal value,Units,Global,,299351.95377
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,21600837.60361
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,23354799.08486
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,24094119.86183
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,24683887.70848
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,23204963.01296
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,23993087.36852
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,26068222.05843
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,27785939.96067
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,21660979.88591
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,12193988.24558
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,17918327.84261
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,17327567.40967
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,15619612.87601
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,18576748.17265
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,19306485.523
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,18680316.40798
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,20305963.31017
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,18743163.03525
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,18478213.51185
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,Global,,17231684.83078
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,17215651.641
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,17379255.834
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,16605507.537
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,18196262.527
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,17678674.652
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,17589448.661
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,18694798.758
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,19176291.835
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,15744217.207
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,7760802.299
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,11804979.138
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,11586800.334
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,11437617.751
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,13250189.145
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,14358507.76
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,12942604.222
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,13478140.834
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,11375026.549
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,11789680.961
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Ferrous ores (material flows),Normal value,Units,Global,,10260061.517
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-ferrous ores (material flows),Normal value,Units,Global,,1729473.11061
